3132062 1.857E-006 1.11E-002 215 1.97 -121.710268 37.698645
3132873 1.804E-006 1.14E-002 194 2.47 -121.710268 37.698645
3133684 1.820E-006 1.14E-002 217 2.38 -121.710268 37.698645
3134496 1.794E-006 1.14E-002 208 1.77 -121.710268 37.698645
3135307 1.856E-006 1.13E-002 199 1.68 -121.710268 37.698645
3136118 1.872E-006 1.16E-002 209 1.56 -121.710268 37.698645
3136929 1.869E-006 1.15E-002 198 1.64 -121.710268 37.698645
3137740 1.834E-006 1.11E-002 202 1.97 -121.710268 37.698645
3141999 1.810E-006 1.15E-002 205 2.46 -121.710270 37.698647
3142810 1.868E-006 1.15E-002 197 1.81 -121.710267 37.698647
3143622 1.846E-006 1.14E-002 190 2.22 -121.710267 37.698647
3144433 1.888E-006 1.16E-002 164 1.97 -121.710257 37.698652
3145244 1.871E-006 1.14E-002 202 1.25 -121.710257 37.698652
3146055 1.831E-006 1.13E-002 168 2.07 -121.710250 37.698655
3146866 1.856E-006 1.14E-002 174 2.45 -121.710243 37.698657
3147678 1.838E-006 1.13E-002 191 2.43 -121.710235 37.698660
3148489 1.893E-006 1.15E-002 195 1.90 -121.710235 37.698660
3149300 1.859E-006 1.14E-002 229 2.09 -121.710225 37.698663
3150111 1.823E-006 1.15E-002 217 1.75 -121.710217 37.698665
3150922 1.855E-006 1.13E-002 206 2.50 -121.710212 37.698663
3151734 1.843E-006 1.14E-002 202 2.12 -121.710208 37.698665
3152545 1.894E-006 1.12E-002 226 1.78 -121.710205 37.698662
3153356 1.852E-006 1.15E-002 195 2.00 -121.710205 37.698662
3154167 1.832E-006 1.20E-002 203 1.79 -121.710205 37.698660
3154978 1.900E-006 1.14E-002 214 1.63 -121.710207 37.698660
3155790 1.899E-006 1.12E-002 209 1.82 -121.710212 37.698663
3156601 1.847E-006 1.11E-002 223 2.29 -121.710217 37.698667
3157426 1.881E-006 1.17E-002 234 1.93 -121.710220 37.698672
3158238 2.393E-006 1.17E-002 224 1.22 -121.710220 37.698672
3159049 2.319E-006 1.17E-002 202 1.57 -121.710225 37.698678
3159860 2.331E-006 1.14E-002 195 1.45 -121.710228 37.698683
3160671 2.359E-006 1.15E-002 161 1.39 -121.710233 37.698692
3161482 2.100E-006 1.14E-002 238 2.37 -121.710233 37.698698
3162294 2.011E-006 1.16E-002 203 1.99 -121.710233 37.698698
3163105 2.092E-006 1.14E-002 192 1.89 -121.710235 37.698707
3163916 2.094E-006 1.15E-002 232 1.34 -121.710235 37.698715
3164727 1.887E-006 1.13E-002 182 1.15 -121.710235 37.698723
3165529 1.911E-006 1.14E-002 203 1.38 -121.710235 37.698733
3166348 2.004E-006 1.15E-002 205 1.49 -121.710235 37.698733
3167159 1.905E-006 1.15E-002 202 1.87 -121.710232 37.698740
3168175 1.907E-006 1.14E-002 191 1.90 -121.710232 37.698747
3168980 1.858E-006 1.17E-002 209 1.56 -121.710230 37.698753
3169795 1.866E-006 1.16E-002 232 1.34 -121.710232 37.698762
3170595 1.832E-006 1.16E-002 204 1.71 -121.710232 37.698770
3171407 1.827E-006 1.17E-002 207 1.52 -121.710233 37.698778
3172218 1.872E-006 1.15E-002 216 1.75 -121.710233 37.698778
3173029 1.846E-006 1.15E-002 226 1.82 -121.710235 37.698787
3173840 1.845E-006 1.16E-002 211 1.38 -121.710238 37.698793
3174651 1.876E-006 1.16E-002 235 1.76 -121.710240 37.698805
3175463 1.884E-006 1.21E-002 235 1.74 -121.710242 37.698813
3176274 1.831E-006 1.18E-002 230 1.46 -121.710242 37.698813
3177085 1.840E-006 1.14E-002 238 1.48 -121.710245 37.698823
3177896 1.819E-006 1.14E-002 248 1.60 -121.710248 37.698833
3178707 1.874E-006 1.16E-002 235 1.26 -121.710252 37.698842
3179519 1.836E-006 1.14E-002 229 1.65 -121.710253 37.698853
3180330 1.867E-006 1.16E-002 210 1.37 -121.710253 37.698853
3181141 1.912E-006 1.17E-002 238 1.15 -121.710255 37.698863
3181952 1.855E-006 1.15E-002 227 1.38 -121.710257 37.698872
3182763 1.906E-006 1.16E-002 227 1.51 -121.710258 37.698880
3183575 1.826E-006 1.15E-002 230 1.36 -121.710258 37.698880
3184386 1.858E-006 1.14E-002 244 1.33 -121.710262 37.698887
3185197 1.894E-006 1.18E-002 230 1.58 -121.710267 37.698898
3186008 1.825E-006 1.16E-002 214 1.40 -121.710273 37.698910
3186819 1.898E-006 1.11E-002 202 1.19 -121.710277 37.698920
3187631 1.863E-006 1.14E-002 207 1.64 -121.710280 37.698930
3188442 1.842E-006 1.14E-002 196 1.68 -121.710280 37.698930
3189253 1.852E-006 1.16E-002 208 1.27 -121.710285 37.698940
3190064 1.853E-006 1.15E-002 188 1.24 -121.710287 37.698952
3191078 1.869E-006 1.13E-002 195 1.27 -121.710290 37.698962
3191889 1.914E-006 1.14E-002 225 0.97 -121.710295 37.698972
3192701 1.866E-006 1.15E-002 226 0.84 -121.710295 37.698982
